ID,Nombre,Tipo,Departamento,Municipio,Dirección,Código Postal,Teléfono
1,Sucursal Antigua Guatemala 1,Sucursal,Sacatepéquez,Antigua Guatemala,Zona 7,91405,+502 8036-8423
2,Sucursal Escuintla 2,Sucursal,Escuintla,Escuintla,Zona 1,97145,+502 9525-7114
3,Sucursal Quetzaltenango 3,Sucursal,Quetzaltenango,Quetzaltenango,Zona 1,53915,+502 2873-4763
4,Sucursal Cobán 4,Sucursal,Alta Verapaz,Cobán,Zona 8,31535,+502 6809-5562
5,Sucursal Flores 5,Sucursal,Petén,Flores,Zona 10,63389,+502 5942-1959
6,Sucursal Chiquimula 6,Sucursal,Chiquimula,Chiquimula,Zona 8,19714,+502 4495-5162
7,Sucursal Jutiapa 7,Sucursal,Jutiapa,Jutiapa,Zona 10,55357,+502 4968-8680
8,Sucursal Jalapa 8,Sucursal,Jalapa,Jalapa,Zona 10,33610,+502 2969-1720
9,Sucursal Huehuetenango 9,Sucursal,Huehuetenango,Huehuetenango,Zona 5,89346,+502 9729-5410
10,Sucursal Guatemala 10,Sucursal,Guatemala,Guatemala,Zona 10,45014,+502 4434-5617
11,Sucursal Antigua Guatemala 11,Sucursal,Sacatepéquez,Antigua Guatemala,Zona 1,20929,+502 7744-4210
12,Sucursal Escuintla 12,Sucursal,Escuintla,Escuintla,Zona 2,94782,+502 7124-1261
13,Sucursal Quetzaltenango 13,Sucursal,Quetzaltenango,Quetzaltenango,Zona 1,46520,+502 8420-3678
14,Sucursal Cobán 14,Sucursal,Alta Verapaz,Cobán,Zona 3,63496,+502 7403-6725
15,Sucursal Flores 15,Sucursal,Petén,Flores,Zona 3,44207,+502 1784-3096
16,Sucursal Chiquimula 16,Sucursal,Chiquimula,Chiquimula,Zona 9,98068,+502 1803-1406
17,Sucursal Jutiapa 17,Sucursal,Jutiapa,Jutiapa,Zona 8,60278,+502 1561-4469
18,Sucursal Jalapa 18,Sucursal,Jalapa,Jalapa,Zona 3,94996,+502 7553-8794
19,Sucursal Huehuetenango 19,Sucursal,Huehuetenango,Huehuetenango,Zona 5,41852,+502 7643-8591
20,Sucursal Guatemala 20,Sucursal,Guatemala,Guatemala,Zona 4,34253,+502 9329-2947
21,Sucursal Antigua Guatemala 21,Sucursal,Sacatepéquez,Antigua Guatemala,Zona 1,33786,+502 2173-4020
22,Sucursal Escuintla 22,Sucursal,Escuintla,Escuintla,Zona 4,55036,+502 9906-4511
23,Sucursal Quetzaltenango 23,Sucursal,Quetzaltenango,Quetzaltenango,Zona 1,32570,+502 6098-3734
24,Sucursal Cobán 24,Sucursal,Alta Verapaz,Cobán,Zona 4,71813,+502 3018-7592
25,Sucursal Flores 25,Sucursal,Petén,Flores,Zona 7,34277,+502 6788-9864
26,Sucursal Chiquimula 26,Sucursal,Chiquimula,Chiquimula,Zona 3,23180,+502 5989-7334
27,Sucursal Jutiapa 27,Sucursal,Jutiapa,Jutiapa,Zona 7,72190,+502 7420-7365
28,Sucursal Jalapa 28,Sucursal,Jalapa,Jalapa,Zona 5,84423,+502 4458-5589
29,Sucursal Huehuetenango 29,Sucursal,Huehuetenango,Huehuetenango,Zona 3,59096,+502 7442-9514
30,Sucursal Guatemala 30,Sucursal,Guatemala,Guatemala,Zona 1,81430,+502 2210-2725
31,Sucursal Antigua Guatemala 31,Sucursal,Sacatepéquez,Antigua Guatemala,Zona 10,73868,+502 4918-5687
32,Sucursal Escuintla 32,Sucursal,Escuintla,Escuintla,Zona 2,77740,+502 1042-7736
33,Sucursal Quetzaltenango 33,Sucursal,Quetzaltenango,Quetzaltenango,Zona 6,24874,+502 8914-9817
34,Sucursal Cobán 34,Sucursal,Alta Verapaz,Cobán,Zona 3,55657,+502 8883-5273
35,Sucursal Flores 35,Sucursal,Petén,Flores,Zona 1,30073,+502 6752-8424
36,Sucursal Chiquimula 36,Sucursal,Chiquimula,Chiquimula,Zona 4,68974,+502 2260-5320
37,Sucursal Jutiapa 37,Sucursal,Jutiapa,Jutiapa,Zona 10,90553,+502 2412-5572
38,Sucursal Jalapa 38,Sucursal,Jalapa,Jalapa,Zona 6,10735,+502 8150-8469
39,Sucursal Huehuetenango 39,Sucursal,Huehuetenango,Huehuetenango,Zona 9,31517,+502 8557-3441
40,Sucursal Guatemala 40,Sucursal,Guatemala,Guatemala,Zona 8,16978,+502 5452-3073
41,Sucursal Antigua Guatemala 41,Sucursal,Sacatepéquez,Antigua Guatemala,Zona 3,27188,+502 5220-8290
42,Sucursal Escuintla 42,Sucursal,Escuintla,Escuintla,Zona 7,80977,+502 7737-7571
